{'loss': 2.958, 'learning_rate': 1e-05, 'epoch': 0.01, 'iter_time': 0.0, 'flops': 0.0, 'remaining_time': 0.0}
{'loss': 2.9552, 'learning_rate': 9.910577414409812e-06, 'epoch': 0.18, 'iter_time': 12.458916418892997, 'flops': 1395875351332.1377, 'remaining_time': 48328.13678888594}
{'loss': 2.286, 'learning_rate': 9.908022483392949e-06, 'epoch': 0.19, 'iter_time': 12.463261624177298, 'flops': 1395388691809.4756, 'remaining_time': 48332.52857855956}
{'loss': 2.2434, 'learning_rate': 9.905467552376087e-06, 'epoch': 0.19, 'iter_time': 12.376763627335832, 'flops': 1405140702132.2852, 'remaining_time': 47984.71258318102}
{'loss': 2.654, 'learning_rate': 9.902912621359224e-06, 'epoch': 0.2, 'iter_time': 12.27732859787188, 'flops': 1416521044851.282, 'remaining_time': 47586.92564535141}
{'loss': 2.5283, 'learning_rate': 9.900357690342362e-06, 'epoch': 0.2, 'iter_time': 12.189923219191723, 'flops': 1426677922471.209, 'remaining_time': 47235.95247436793}
{'loss': 2.2688, 'learning_rate': 9.897802759325499e-06, 'epoch': 0.21, 'iter_time': 12.142029505968093, 'flops': 1432305392182.7375, 'remaining_time': 47038.22230612039}
{'loss': 2.2428, 'learning_rate': 9.895247828308637e-06, 'epoch': 0.21, 'iter_time': 12.093615851751188, 'flops': 1438039255308.5537, 'remaining_time': 46838.574193832355}
{'loss': 2.0571, 'learning_rate': 9.892692897291773e-06, 'epoch': 0.22, 'iter_time': 12.017053922017416, 'flops': 1447201156481.1548, 'remaining_time': 46530.03278605144}
{'loss': 1.8139, 'learning_rate': 9.890137966274912e-06, 'epoch': 0.22, 'iter_time': 11.954197706178178, 'flops': 1454810666587.179, 'remaining_time': 46274.69932061573}
{'loss': 1.7065, 'learning_rate': 9.88758303525805e-06, 'epoch': 0.23, 'iter_time': 11.923168561675332, 'flops': 1458596701328.222, 'remaining_time': 46142.66233368354}
{'loss': 1.8979, 'learning_rate': 9.885028104241186e-06, 'epoch': 0.23, 'iter_time': 11.901872025595772, 'flops': 1461206631699.5586, 'remaining_time': 46048.34286703004}
{'loss': 1.9469, 'learning_rate': 9.882473173224325e-06, 'epoch': 0.24, 'iter_time': 11.912628132364024, 'flops': 1459887284334.191, 'remaining_time': 46078.04561598404}
{'loss': 1.6656, 'learning_rate': 9.879918242207461e-06, 'epoch': 0.25, 'iter_time': 11.947978491478779, 'flops': 1455567931080.8281, 'remaining_time': 46202.83282654844}
{'loss': 1.7077, 'learning_rate': 9.8773633111906e-06, 'epoch': 0.25, 'iter_time': 11.921998605132103, 'flops': 1458739839640.1084, 'remaining_time': 46090.44660744071}
{'loss': 1.7631, 'learning_rate': 9.874808380173736e-06, 'epoch': 0.26, 'iter_time': 12.016331526697899, 'flops': 1447288159019.2854, 'remaining_time': 46443.121350687376}
{'loss': 2.0216, 'learning_rate': 9.872253449156873e-06, 'epoch': 0.26, 'iter_time': 12.00318136692047, 'flops': 1448873744536.4329, 'remaining_time': 46380.2928017807}
{'loss': 1.5019, 'learning_rate': 9.86969851814001e-06, 'epoch': 0.27, 'iter_time': 11.986275565390493, 'flops': 1450917279397.0742, 'remaining_time': 46302.98250910347}
{'loss': 1.6601, 'learning_rate': 9.867143587123147e-06, 'epoch': 0.27, 'iter_time': 11.97540320799901, 'flops': 1452234553724.551, 'remaining_time': 46249.00718929218}
{'loss': 2.1597, 'learning_rate': 9.864588656106287e-06, 'epoch': 0.28, 'iter_time': 11.934656192671579, 'flops': 1457192737912.2092, 'remaining_time': 46079.707559904964}
{'loss': 2.2631, 'learning_rate': 9.862033725089424e-06, 'epoch': 0.28, 'iter_time': 11.926478028297424, 'flops': 1458191956768.5383, 'remaining_time': 46036.20518922806}
{'loss': 1.712, 'learning_rate': 9.85947879407256e-06, 'epoch': 0.29, 'iter_time': 11.91525478363037, 'flops': 1459565460348.5732, 'remaining_time': 45980.9682100296}
{'loss': 2.0343, 'learning_rate': 9.856923863055699e-06, 'epoch': 0.29, 'iter_time': 11.891223915985652, 'flops': 1462515083082.4692, 'remaining_time': 45876.341867872645}
{'loss': 1.6775, 'learning_rate': 9.854368932038835e-06, 'epoch': 0.3, 'iter_time': 11.877652427606415, 'flops': 1464186163001.2905, 'remaining_time': 45812.105413277946}
{'loss': 1.6269, 'learning_rate': 9.851814001021973e-06, 'epoch': 0.3, 'iter_time': 11.955483572236423, 'flops': 1454654195153.294, 'remaining_time': 46100.344654543645}
{'loss': 1.359, 'learning_rate': 9.84925907000511e-06, 'epoch': 0.31, 'iter_time': 12.019149541854858, 'flops': 1446948827192.653, 'remaining_time': 46333.82148385048}
{'loss': 1.8424, 'learning_rate': 9.846704138988248e-06, 'epoch': 0.31, 'iter_time': 12.032904370625813, 'flops': 1445294818090.1663, 'remaining_time': 46374.81344439188}
{'loss': 1.8075, 'learning_rate': 9.844149207971385e-06, 'epoch': 0.32, 'iter_time': 12.039969940654567, 'flops': 1444446657189.454, 'remaining_time': 46390.00418134205}
{'loss': 1.8387, 'learning_rate': 9.841594276954523e-06, 'epoch': 0.32, 'iter_time': 12.006269289601233, 'flops': 1448501105043.7312, 'remaining_time': 46248.14930354395}
{'loss': 1.7214, 'learning_rate': 9.839039345937661e-06, 'epoch': 0.33, 'iter_time': 11.970536784520226, 'flops': 1452824935631.074, 'remaining_time': 46098.53715718739}
{'loss': 1.8001, 'learning_rate': 9.836484414920798e-06, 'epoch': 0.33, 'iter_time': 11.976500015705824, 'flops': 1452101558104.0828, 'remaining_time': 46109.52506046742}
{'loss': 1.3637, 'learning_rate': 9.833929483903936e-06, 'epoch': 0.34, 'iter_time': 11.98929070692796, 'flops': 1450552393678.3542, 'remaining_time': 46146.77993096572}
{'loss': 2.4465, 'learning_rate': 9.831374552887073e-06, 'epoch': 0.34, 'iter_time': 11.957646214600766, 'flops': 1454391108528.0962, 'remaining_time': 46013.022633783745}
{'loss': 2.6131, 'learning_rate': 9.828819621870211e-06, 'epoch': 0.35, 'iter_time': 11.945996024715367, 'flops': 1455809486078.7778, 'remaining_time': 45956.24670708001}
{'loss': 1.9971, 'learning_rate': 9.826264690853347e-06, 'epoch': 0.35, 'iter_time': 11.909333835629855, 'flops': 1460291110608.558, 'remaining_time': 45803.29793183242}
{'loss': 1.8995, 'learning_rate': 9.823709759836486e-06, 'epoch': 0.36, 'iter_time': 11.88249715514805, 'flops': 1463589185536.255, 'remaining_time': 45688.20156154425}
{'loss': 1.6996, 'learning_rate': 9.821154828819622e-06, 'epoch': 0.36, 'iter_time': 11.841633197239467, 'flops': 1468639844163.9138, 'remaining_time': 45519.238010188514}
{'loss': 1.4571, 'learning_rate': 9.81859989780276e-06, 'epoch': 0.37, 'iter_time': 11.833831874417587, 'flops': 1469608028743.092, 'remaining_time': 45477.41589338679}
{'loss': 1.3635, 'learning_rate': 9.816044966785899e-06, 'epoch': 0.37, 'iter_time': 11.79143982132276, 'flops': 1474891497303.9377, 'remaining_time': 45302.711793522045}
{'loss': 1.3216, 'learning_rate': 9.813490035769035e-06, 'epoch': 0.38, 'iter_time': 11.788279229647493, 'flops': 1475286934983.8135, 'remaining_time': 45278.78052107602}
{'loss': 1.9996, 'learning_rate': 9.810935104752174e-06, 'epoch': 0.38, 'iter_time': 11.758398887273428, 'flops': 1479035921486.135, 'remaining_time': 45152.251727129966}
{'loss': 2.4201, 'learning_rate': 9.80838017373531e-06, 'epoch': 0.39, 'iter_time': 11.737852017084757, 'flops': 1481624943654.665, 'remaining_time': 45061.61389358838}
{'loss': 1.5043, 'learning_rate': 9.805825242718447e-06, 'epoch': 0.39, 'iter_time': 11.72231514202921, 'flops': 1483588704341.0, 'remaining_time': 44990.24551510811}
{'loss': 1.8149, 'learning_rate': 9.803270311701585e-06, 'epoch': 0.4, 'iter_time': 11.718465315831171, 'flops': 1484076102520.4673, 'remaining_time': 44963.75141684421}
{'loss': 1.9435, 'learning_rate': 9.800715380684721e-06, 'epoch': 0.4, 'iter_time': 11.67329026796879, 'flops': 1489819402603.2847, 'remaining_time': 44778.74146792828}
{'loss': 1.1572, 'learning_rate': 9.79816044966786e-06, 'epoch': 0.41, 'iter_time': 11.675757806512374, 'flops': 1489504546226.5232, 'remaining_time': 44776.53118797496}
{'loss': 1.976, 'learning_rate': 9.795605518650996e-06, 'epoch': 0.41, 'iter_time': 11.660728207230568, 'flops': 1491424379710.3645, 'remaining_time': 44707.231946522}
{'loss': 1.7847, 'learning_rate': 9.793050587634134e-06, 'epoch': 0.42, 'iter_time': 11.623081339730156, 'flops': 1496255065684.9963, 'remaining_time': 44551.27077518569}
{'loss': 1.8602, 'learning_rate': 9.790495656617273e-06, 'epoch': 0.42, 'iter_time': 11.609756091745888, 'flops': 1497972411823.917, 'remaining_time': 44488.585343570245}
{'loss': 1.832, 'learning_rate': 9.78794072560041e-06, 'epoch': 0.43, 'iter_time': 11.655057252171527, 'flops': 1492150056165.5117, 'remaining_time': 44650.52433306912}
{'loss': 1.5608, 'learning_rate': 9.785385794583548e-06, 'epoch': 0.43, 'iter_time': 11.63933455376398, 'flops': 1494165689035.5461, 'remaining_time': 44578.65134091605}
{'loss': 1.9071, 'learning_rate': 9.782830863566684e-06, 'epoch': 0.44, 'iter_time': 11.63808024630827, 'flops': 1494326724457.554, 'remaining_time': 44562.20926311437}
{'loss': 1.7381, 'learning_rate': 9.780275932549822e-06, 'epoch': 0.44, 'iter_time': 11.636377301327018, 'flops': 1494545414186.313, 'remaining_time': 44544.05230947983}
{'loss': 1.886, 'learning_rate': 9.777721001532959e-06, 'epoch': 0.45, 'iter_time': 11.625367537312124, 'flops': 1495960818238.4363, 'remaining_time': 44490.2815652935}
{'loss': 1.6757, 'learning_rate': 9.775166070516097e-06, 'epoch': 0.45, 'iter_time': 11.622459249062972, 'flops': 1496335152548.8987, 'remaining_time': 44467.52908691493}
{'loss': 1.2221, 'learning_rate': 9.772611139499234e-06, 'epoch': 0.46, 'iter_time': 11.636586103546485, 'flops': 1494518596664.6792, 'remaining_time': 44509.9418460653}
{'loss': 1.1481, 'learning_rate': 9.770056208482372e-06, 'epoch': 0.46, 'iter_time': 11.613921279377408, 'flops': 1497435182750.9797, 'remaining_time': 44411.634972339205}
{'loss': 1.6994, 'learning_rate': 9.767501277465509e-06, 'epoch': 0.47, 'iter_time': 11.604755388511407, 'flops': 1498617915777.614, 'remaining_time': 44364.97985027911}
{'loss': 1.7536, 'learning_rate': 9.764946346448647e-06, 'epoch': 0.48, 'iter_time': 11.581887885280278, 'flops': 1501576815947.493, 'remaining_time': 44265.97549754122}
{'loss': 2.1097, 'learning_rate': 9.762391415431785e-06, 'epoch': 0.48, 'iter_time': 11.559883186894078, 'flops': 1504435127264.695, 'remaining_time': 44170.31365712227}
{'loss': 2.2699, 'learning_rate': 9.759836484414922e-06, 'epoch': 0.49, 'iter_time': 11.530957696285654, 'flops': 1508209013640.0388, 'remaining_time': 44048.258399811195}
{'loss': 1.4222, 'learning_rate': 9.75728155339806e-06, 'epoch': 0.49, 'iter_time': 11.523153167021903, 'flops': 1509230510205.4487, 'remaining_time': 44006.921944856644}
{'loss': 0.9846, 'learning_rate': 9.754726622381196e-06, 'epoch': 0.5, 'iter_time': 11.500270808736483, 'flops': 1512233461513.654, 'remaining_time': 43908.03394775589}
{'loss': 1.3737, 'learning_rate': 9.752171691364335e-06, 'epoch': 0.5, 'iter_time': 11.489728927612305, 'flops': 1513620942931.5115, 'remaining_time': 43856.29531669617}
{'loss': 1.7413, 'learning_rate': 9.749616760347471e-06, 'epoch': 0.51, 'iter_time': 11.476916967606059, 'flops': 1515310634600.4666, 'remaining_time': 43795.915148384716}
{'loss': 1.6143, 'learning_rate': 9.747061829330608e-06, 'epoch': 0.51, 'iter_time': 11.464161509215229, 'flops': 1516996626352.5273, 'remaining_time': 43735.776157656095}
{'loss': 1.176, 'learning_rate': 9.744506898313746e-06, 'epoch': 0.52, 'iter_time': 11.455846428871155, 'flops': 1518097719048.5693, 'remaining_time': 43692.598279714584}
{'loss': 1.3695, 'learning_rate': 9.741951967296884e-06, 'epoch': 0.52, 'iter_time': 11.49669371737112, 'flops': 1512703979159.0376, 'remaining_time': 43836.89314433608}
{'loss': 1.1787, 'learning_rate': 9.739397036280022e-06, 'epoch': 0.53, 'iter_time': 11.472398138513752, 'flops': 1515907495840.5354, 'remaining_time': 43732.78170401442}
{'loss': 1.7254, 'learning_rate': 9.736842105263159e-06, 'epoch': 0.53, 'iter_time': 11.45548540643118, 'flops': 1518145562271.55, 'remaining_time': 43656.854883909225}
{'loss': 1.8526, 'learning_rate': 9.734287174246296e-06, 'epoch': 0.54, 'iter_time': 11.458212861647972, 'flops': 1517784190556.4612, 'remaining_time': 43655.791002878774}
{'loss': 2.3171, 'learning_rate': 9.731732243229434e-06, 'epoch': 0.54, 'iter_time': 11.431393682389032, 'flops': 1521345062258.888, 'remaining_time': 43542.17853621982}
{'loss': 1.8468, 'learning_rate': 9.72917731221257e-06, 'epoch': 0.55, 'iter_time': 11.441895610881302, 'flops': 1519948697740.3447, 'remaining_time': 43570.738486236}
{'loss': 1.5137, 'learning_rate': 9.726622381195709e-06, 'epoch': 0.55, 'iter_time': 11.429456962603275, 'flops': 1521602853953.8635, 'remaining_time': 43511.94265663067}
{'loss': 2.4417, 'learning_rate': 9.724067450178845e-06, 'epoch': 0.56, 'iter_time': 11.412559939755333, 'flops': 1523855684022.1807, 'remaining_time': 43436.2031307088}
{'loss': 1.6517, 'learning_rate': 9.721512519161983e-06, 'epoch': 0.56, 'iter_time': 11.401494524894504, 'flops': 1525334621304.913, 'remaining_time': 43382.68666722359}
{'loss': 1.6419, 'learning_rate': 9.71895758814512e-06, 'epoch': 0.57, 'iter_time': 11.396023006872698, 'flops': 1526066972921.3254, 'remaining_time': 43350.47151814374}
{'loss': 1.9321, 'learning_rate': 9.716402657128258e-06, 'epoch': 0.57, 'iter_time': 11.371055925214613, 'flops': 1529417711760.2883, 'remaining_time': 43244.12568359117}
{'loss': 1.3667, 'learning_rate': 9.713847726111396e-06, 'epoch': 0.58, 'iter_time': 11.361311961497579, 'flops': 1530729408045.1965, 'remaining_time': 43195.708077613795}
{'loss': 1.3559, 'learning_rate': 9.711292795094533e-06, 'epoch': 0.58, 'iter_time': 11.369566221152787, 'flops': 1529618104610.2104, 'remaining_time': 43215.721206601746}
{'loss': 2.0182, 'learning_rate': 9.708737864077671e-06, 'epoch': 0.59, 'iter_time': 11.36271692158883, 'flops': 1530540138723.11, 'remaining_time': 43178.32430203756}
{'loss': 1.6053, 'learning_rate': 9.706182933060808e-06, 'epoch': 0.59, 'iter_time': 11.350110860492872, 'flops': 1532240041282.2754, 'remaining_time': 43119.07115901242}
{'loss': 1.6577, 'learning_rate': 9.703628002043946e-06, 'epoch': 0.6, 'iter_time': 11.341681611949, 'flops': 1533378817045.7595, 'remaining_time': 43075.7067621823}
{'loss': 1.131, 'learning_rate': 9.701073071027083e-06, 'epoch': 0.6, 'iter_time': 11.332485720642612, 'flops': 1534623097010.5146, 'remaining_time': 43029.44828128}
{'loss': 1.6174, 'learning_rate': 9.698518140010221e-06, 'epoch': 0.61, 'iter_time': 11.334607611268254, 'flops': 1534335808515.3926, 'remaining_time': 43026.170492374295}
{'loss': 2.2935, 'learning_rate': 9.695963208993357e-06, 'epoch': 0.61, 'iter_time': 11.324655735192179, 'flops': 1535684151474.5503, 'remaining_time': 42977.06851505432}
{'eval_loss': 1.6775776147842407, 'eval_runtime': 40.9933, 'eval_samples_per_second': 2.122, 'eval_steps_per_second': 2.122, 'epoch': 0.61, 'iter_time': 11.670146769836169, 'flops': 1490220703855.3076, 'remaining_time': 44288.20699152826}
{'loss': 1.9095, 'learning_rate': 9.693408277976496e-06, 'epoch': 0.62, 'iter_time': 11.680164887507756, 'flops': 1488942536422.6008, 'remaining_time': 44314.545583204424}
{'loss': 1.5612, 'learning_rate': 9.690853346959634e-06, 'epoch': 0.62, 'iter_time': 11.66262061733845, 'flops': 1491182376933.8093, 'remaining_time': 44236.32000156474}
{'loss': 1.9003, 'learning_rate': 9.68829841594277e-06, 'epoch': 0.63, 'iter_time': 11.640101620408355, 'flops': 1494067225577.1843, 'remaining_time': 44139.265344588486}
